logged_at_utc,scan_type,ticker,yf_first,yf_last,yf_bars,sa_first,sa_last,sa_bars,common_days,sa_staleness_days,close_pct_diff_last,close_pct_diff_max,close_pct_diff_mean,adj_pct_diff_last,adj_pct_diff_max,last_common_date,yf_close,sa_close,sa_adj,yf_volume,sa_volume,volume_pct_diff_last,ohlc_pct_diff_max_last,note
2026-09-16T20:30:18.963270+00:00,post_close,ORLY,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.0,0.0,8268.0,9840.0002,2026-09-16,83.68,83.68,1.0,7191310,4638476.322121,55.036,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,PFE,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,3.3153,1.6698,2645.9999,2802.0,2026-09-16,27.46,27.46,1.0,25468750,16043005.452067,58.753,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,PNFP,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.9728,0.493,9507.0,10802.9999,2026-09-16,96.07,96.07,1.0,934064,521631.474204,79.0659,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,QCOM,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.9073,0.6614,18383.9996,25001.999,2026-09-16,184.84,184.84,1.0,9502401,6463022.732061,47.0272,0.0661,
2026-09-16T20:30:18.963270+00:00,post_close,RF,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.9409,1.3007,2746.9999,3140.0,2026-09-16,28.47,28.47,1.0,10056785,7095909.413612,41.7265,0.1517,
2026-09-16T20:30:18.963270+00:00,post_close,SBUX,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.1506,0.6593,9633.9996,10755.0,2026-09-16,97.34,97.34,1.0,9275136,6110619.890145,51.7872,0.0104,
2026-09-16T20:30:18.963270+00:00,post_close,SYK,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.5354,0.1721,28376.001,35125.0,2026-09-16,284.76,284.76,1.0,3385731,2228098.592534,51.9561,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,TFC,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,2.0165,1.1052,4743.9999,5224.9998,2026-09-16,48.44,48.44,1.0,11639160,5772533.442232,101.63,0.0396,
2026-09-16T20:30:18.963270+00:00,post_close,TGT,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.6905,0.9043,15367.9993,16888.9999,2026-09-16,154.68,154.68,1.0,2730542,1672453.236915,63.2657,0.0293,
2026-09-16T20:30:18.963270+00:00,post_close,TJX,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.64,0.3601,12183.9996,16741.0005,2026-09-16,122.84,122.84,1.0,10072591,8332753.258047,20.8795,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,TMO,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.1767,0.1243,64742.9993,64742.9993,2026-09-16,648.43,648.43,1.0,2872969,1953797.267986,47.0454,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,TSLA,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.0013,0.0,35707.9987,44426.9989,2026-09-16,358.08,358.08,1.0,31738139,27791246.920977,14.2019,0.0137,
2026-09-16T20:30:18.963270+00:00,post_close,TSM,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.2684,0.1125,41672.0001,47785.1714,2026-09-16,417.72,417.72,1.0,10378138,8124579.638447,27.7375,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,TXN,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.0124,0.5117,25967.0013,33128.0002,2026-09-16,260.67,260.67,1.0,3565523,1901269.124758,87.5338,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,UMBF,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.6791,0.4911,13319.9997,15103.9987,2026-09-16,134.2,134.2,1.0,776783,490790.653137,58.2718,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,UNH,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.1764,0.8731,37426.001,43535.0023,2026-09-16,375.26,375.26,1.0,3935254,2423671.544995,62.3675,0.0105,
2026-09-16T20:30:18.963270+00:00,post_close,VRTX,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.0011,0.0,51226.001,55696.0022,2026-09-16,513.26,513.26,1.0,637441,377816.880722,68.7169,0.0,
